"animal_id","species","timestamp","latitude","longitude","lc","locType","stop_id","n_stops","meta_stop_id"
"touristParis","human",2009-04-26 09:05:38,48.724361,2.329134,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:39,48.724638,2.32993,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:40,48.724917,2.330702,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:41,48.725181,2.331473,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:42,48.725447,2.33221,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:43,48.725706,2.332929,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:44,48.725954,2.333632,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:45,48.726204,2.334312,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:46,48.726453,2.334976,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:47,48.726697,2.335628,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:48,48.726926,2.33626,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:49,48.727148,2.336894,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:50,48.727374,2.337496,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:51,48.727584,2.338075,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:52,48.727777,2.338626,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:53,48.727959,2.339149,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:54,48.728148,2.339653,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:55,48.728324,2.340123,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:56,48.728494,2.34056,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:57,48.728651,2.340967,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:58,48.7288,2.341356,"G","Movement", , , 
"touristParis","human",2009-04-26 09:05:59,48.728925,2.341721,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:00,48.729038,2.342064,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:01,48.729153,2.342385,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:02,48.729269,2.342685,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:03,48.729371,2.342981,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:04,48.729471,2.343251,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:05,48.72956,2.34351,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:06,48.729666,2.343763,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:07,48.729746,2.344004,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:08,48.729822,2.344231,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:09,48.7299,2.344454,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:10,48.729974,2.344667,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:11,48.730036,2.344872,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:12,48.730082,2.345073,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:13,48.730119,2.345265,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:14,48.730143,2.345456,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:15,48.730165,2.345645,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:16,48.730185,2.345837,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:17,48.730202,2.346026,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:18,48.730203,2.34621,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:19,48.730205,2.346389,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:20,48.730214,2.346556,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:21,48.730217,2.346714,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:22,48.730226,2.346874,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:23,48.730237,2.347024,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:24,48.730252,2.347172,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:25,48.730263,2.34732,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:26,48.730276,2.347464,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:27,48.730287,2.347612,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:28,48.730299,2.347769,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:29,48.73031,2.347932,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:30,48.730319,2.348092,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:31,48.73033,2.348241,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:33,48.730336,2.348527,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:34,48.730343,2.348664,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:35,48.730353,2.348805,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:37,48.730379,2.349072,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:39,48.730401,2.349336,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:41,48.730414,2.349575,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:43,48.730432,2.349784,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:45,48.730453,2.349974,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:47,48.730469,2.350126,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:49,48.730474,2.350273,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:52,48.730475,2.350461,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:55,48.730489,2.350609,"G","Movement", , , 
"touristParis","human",2009-04-26 09:06:58,48.730505,2.350753,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:02,48.730496,2.350879,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:07,48.730488,2.350936,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:12,48.730494,2.350959,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:17,48.7305,2.350985,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:22,48.730503,2.351028,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:27,48.730484,2.351103,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:32,48.730464,2.351234,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:37,48.730465,2.351393,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:41,48.730439,2.351549,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:44,48.730418,2.351691,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:47,48.730384,2.351842,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:50,48.730356,2.35202,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:52,48.730325,2.352147,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:54,48.730284,2.352275,"G","Movement", , , 
"touristParis","human",2009-04-26 09:07:57,48.730243,2.352461,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:00,48.730219,2.352655,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:02,48.730212,2.352822,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:04,48.730204,2.35299,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:06,48.730209,2.353162,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:08,48.73022,2.353332,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:10,48.730229,2.35352,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:12,48.730266,2.353671,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:14,48.730305,2.353837,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:16,48.730355,2.353984,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:18,48.730416,2.35413,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:20,48.730478,2.354261,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:22,48.730523,2.35442,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:24,48.730596,2.354576,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:26,48.730663,2.354716,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:28,48.730729,2.354859,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:30,48.730794,2.354992,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:32,48.730857,2.355127,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:34,48.730926,2.355287,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:36,48.730985,2.355436,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:38,48.731019,2.355577,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:40,48.731037,2.355735,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:42,48.73102,2.355889,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:44,48.730972,2.356023,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:46,48.730907,2.35613,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:48,48.730824,2.356239,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:50,48.730768,2.35635,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:53,48.730738,2.356512,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:56,48.730727,2.35669,"G","Movement", , , 
"touristParis","human",2009-04-26 09:08:59,48.730759,2.356832,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:02,48.730807,2.356979,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:05,48.730889,2.357136,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:08,48.730976,2.357285,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:10,48.731019,2.357408,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:13,48.731067,2.357574,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:15,48.731117,2.357686,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:18,48.731187,2.35783,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:21,48.731225,2.357972,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:24,48.731272,2.358111,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:27,48.731323,2.358229,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:30,48.731371,2.358352,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:33,48.731421,2.358474,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:36,48.731467,2.358593,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:39,48.731508,2.358717,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:42,48.731538,2.358874,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:46,48.731514,2.359037,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:49,48.731442,2.359133,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:52,48.731355,2.359197,"G","Movement", , , 
"touristParis","human",2009-04-26 09:09:56,48.73125,2.359243,"G","Movement", , , 
"touristParis","human",2009-04-26 09:14:36,48.73103,2.359464,"G","Movement", , , 
"touristParis","human",2009-04-26 09:14:41,48.731008,2.359468,"G","Movement", , , 
"touristParis","human",2009-04-26 09:14:46,48.731005,2.35946,"G","Movement", , , 
"touristParis","human",2009-04-26 09:14:51,48.731004,2.35946,"G","Movement", , , 
"touristParis","human",2009-04-26 09:14:56,48.731003,2.359455,"G","Movement", , , 
"touristParis","human",2009-04-26 09:15:01,48.731004,2.359455,"G","Movement", , , 
"touristParis","human",2009-04-26 09:15:04,48.731004,2.359455,"G","Movement", , , 
"touristParis","human",2009-04-26 09:15:06,48.731006,2.359456,"G","Movement", , , 
"touristParis","human",2009-04-26 09:15:11,48.731011,2.359469,"G","Movement", , , 
